1,23000,3400,19600
2,42000,6900,35100
3,61000,2700,58300
4,19000,8600,10400
5,69000,3700,65300
6,90000,6400,83600
7,52000,3900,48100
8,28000,6800,21200
9,81000,10000,71000
10,26000,5400,20600
11,16000,4600,11400
12,55000,8000,47000
13,19000,2100,16900
14,88000,7700,80300
15,28000,3000,25000
16,63000,3100,59900
17,14000,3600,10400
18,85000,6100,78900
19,11000,5700,5300
20,67000,8600,58400
21,73000,3000,70000
22,27000,5500,21500
23,45000,2700,42300
24,66000,7300,58700
25,79000,1300,77700
26,82000,4500,77500
27,11000,9700,1300
28,81000,7800,73200
29,40000,4500,35500
30,21000,3100,17900
31,75000,3000,72000
32,43000,8600,34400
33,65000,5700,59300
34,41000,4900,36100
35,72000,4300,67700
36,43000,4700,38300
37,24000,2100,21900
38,83000,5100,77900
39,22000,7300,14700
40,33000,6400,26600
41,47000,9900,37100
42,31000,6400,24600
43,92000,6200,85800
44,99000,5000,94000
45,50000,2200,47800
46,60000,7300,52700
47,52000,8500,43500
48,55000,5100,49900
49,32000,6000,26000
50,30000,5800,24200
51,23000,9600,13400
52,26000,9500,16500
53,64000,10000,54000
54,25000,9600,15400
55,35000,5100,29900
56,32000,6100,25900
57,95000,4200,90800
58,36000,8000,28000
59,100000,4400,95600
60,86000,6000,80000
61,39000,5200,33800
62,69000,8400,60600
63,43000,5400,37600
64,35000,4300,30700
65,46000,4800,41200
66,20000,3100,16900
67,52000,2500,49500
68,86000,5700,80300
69,81000,8000,73000
70,49000,2500,46500
71,21000,7400,13600
72,18000,8300,9700
73,33000,4400,28600
74,49000,2300,46700
75,11000,5800,5200
76,27000,8000,19000
77,12000,5600,6400
78,87000,6800,80200
79,33000,6200,26800
80,36000,5700,30300
81,86000,4700,81300
82,85000,1500,83500
83,73000,9900,63100
84,62000,3400,58600
85,73000,7300,65700
86,28000,5100,22900
87,74000,5800,68200
88,21000,8400,12600
89,45000,3300,41700
90,28000,4300,23700
91,74000,8400,65600
92,96000,4900,91100
93,53000,1800,51200
94,66000,8800,57200
95,61000,4900,56100
96,86000,7300,78700
97,16000,9600,6400
98,85000,9300,75700
99,69000,3900,65100
100,30000,8600,21400
